cleaned_comment,translate
"pemrintah kail mancing jgn ikan habis makan","id ke en: pemrintah kail  id ke en: pemrintah ka"
"kita bijak perintah gak presiden menghacurkan negara nya dosa hina peminpin nya hanya orang2 yabg hancur negara indobesia demo","terjemahkan id ke en: terjemahkan id ke en: terjemahkan id ke"
"tanggap jokowi memanxing demo berul jokowi ngancurin pdipsengan halus ngerahin mahasiswa ngeluarin m pdip","kan id ke en:kan id ke en:kan id ke en:kan"
"amerika kencing kencing","terjemahkan id ke en: amerika kencing kencing kencing kencing kencing kencing kencing kencing kencing kencing kencing"
"brjd curga ni rakyat ma sdah cerdas bang manah muka 2","terjemahkan id ke en: terjemahkan id ke en: terjemahkan id ke"
"sekarang jaman bpk prabowo bkn joko analis gagal","terjemahkan id ke en:kan id ke en:kan id ke en:"
"edi sitorus ngomong benci solusi jadi aneh","terjemahkan id ke en: edi sitorus terjemahkan id ke en:"
"gelap emas","emas terjemahkan id ke en: gelap emas emas terjemahkan id ke en: gelap"
"bekas koruptor ngompor","ngompor ngompor terjemahkan id ke en: "
"golkar udah geser demokrat jokowi sby prabowo","demokrat jokowi sby prabowo sby prabowo sby prabo"
"ehada mantan napi panggung muka","aja sih aja sih aja terjemahkan"
"kuat omon2 si turun ni",":)  :) :) ke en: terjemah"
"ini orang mna bela mahasewa menggebu2 bela klo institusi partai mohon tum partai tegur orang","terjemahkan id ke en:kan id ke en:kan id ke en:"
"saya saran pilpres 2029 calon persiden calon wakil usia produktif orng uzur kaya pikun bicara pumplan kalo persiden nya usia produktif wawas erti butuh rakyat rakyat tengah bawah kabinet","terjemahkan id ke en: terjemahkan id ke en: terjemahkan id ke"
"yg persiden nya bener bos","bos terjemahkan id ke en: terjemahkan id ke en: "
"ratus hr perintah prabowo dengar pidato ber api quotsaja jabat ajar bsris bar mrk"," terjemahkan id ke en: ratus hr perintah prabowo terjemahkan"
"sandiwara sitorus pdip brbrklo bicara dg ronz habis kau dedy sitorus","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"prabowo jadi presiden karena simpati rakyat telah di rendah anies baswedan sekarang di demo rakyat karena puja jokowi hidup jokowi apa kuasa tidak faham seluruh rakyat indonesia tidak senang dengan jokowi","terjemahkan id ke en: prabowo jadi presiden karena simpati rakyat telah di rendah"
"ass datuak kan ilas bangkaruang jan kumpul tv i malu ambo minangkabau ijan dikupua lai baruak libat karupsi pdi kan ilyas dt minangkabau riau","aja kan aja kan aja kan aja"
"dedi sitorus omong rakyat percaya dukung jokowi orang jawa tinggal bateng pimpin astas ngomongnya ngacau","terjemahkan id ke en: dedi sitoruskan id ke en: de"
"semua politis bicara utk penting partai masyarakat","terjemahkan id ke en: semua politis bicara utk penting partai masyarakat terjemahkan"
"kau partai mu kuasa puluh brhaaaaaaahhhh brkau diam aja kader muda korupsi partai mu itu partai korup dan kau diam aja","terjemahkan id ke en:  terjemahkan id ke en: terjemah"
"dasar manusia tau dedi sitorus","terjemahkan id ke en: dasar manusia tau terjemahkan id ke en:"
"ilc undang pecundang2 fery n sitaurusmuak","terjemahkan id ke en: ilc undang pecundang2 terjemahkan id ke"
"dedy sitorua org g prestasi u bangsa tp cm ngoceh","... sitorua  sitorua  sitoru"
"taekkk acara ilcprovokasi teeua de pecundang2 negara","terjemahkan id ke en: taekkk terjemahkan id ke en:"
"kok nggak demo uu ampas aset koruptor","terjemahkan id ke en: kok nggak demo terjemahkan id ke en"
"dedi sitorus sdh sinting",":)))))))))))))))))"
"lama gila orang jokowi","jokowi jokowi jokowi jokowi jokowi jokowi"
"tv one ngundang narasumber orang2 nya ini2 aja senang kritik presiden peopokator masyarakat jgn pengaruh manusia propokator bacot doang orang apa2 karya tuh bacot aja","tv one tv one tv one tv one tv one tv one "
"silet kepet mbenjret det","ke en: silet kepet terjemahkan id ke en: silet kepet "
"pdip runtuh panik terbuktitakut keoksakin takut mere bisah bilng orde baruapa masarakat bodohjustu bodoh publik masarakat","terjemahkan id ke en: pdip runtuh panik terbukti terjemahkan id ke en"
"intinyamahasewa demoyg suka membankang lawan inti takutbisah libat nga gaji kurangidan demo anakquotpejabat kebanyakanmutarquotkalian partai libat panik","kan id ke en: intinyamahakan id ke en: intinyamaha"
"acara mutu adu domba sitorus orang mutu muncul trus acara","mutu adu domba mutu adu domba adu domba adu domba adu domba mutu adu domba mutu"
"jangan indonesia gelap tuju lengser bpk prabowokemudian lanjut 01 pegang pimpin oleh wapres bruntungnya aku kenal wapresnya","terjemahkan id ke en: jangan indonesia gelap tuju terjemahkan id ke en"
"ilc podcast kompor","terjemahkan id ke en: ilc podcast kompor terjemahkan id"
"demo indonesia gelap dana oleh jokowi dan kroni kroni untuk guling prabowo brjokowi harap agar prabowo segera tumbang dan gibran bisa ganti prabowo jadi presiden","terjemahkan id ke en: terjemahkan id ke en:kan id ke en"
"pdip dikit dikit jokowi wkwkw","         "
"perintah prabowo gibran gagal","terjemahkan id ke en: perintah prabowo gibran gagal terjemahkan id"
"bener jokowidikit2 jokowi dikit2jokowisemua ngomong doang","terjemahkan id ke en: terjemahkan id ke en:kan id ke"
"itu mempropokasih karna tkut miskin koropsi berantas kaum terna banteng","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"jajah jawa","jawa jawa jawa jawa jawa jawa jawa jawa jawa jawa jawa jawa jawa jawa jawa jawa jawa jawa"
"jangan mahasewaorang belakang","terjemahkan id ke en: jangan mahasewaorang belakang belakang  belakang belakang"
"ngaur enteapa salahin jokowi","jokowi jokowi terjemahkan id ke en: terjemahkan"
"inti anggota partai pdip kalah jokowi","jokowi jokowi jokowi jokowi jokowi"
"dedi comberan koar2 benarngacah lo partai mu korupsi berjemaa","terjemahkan id ke en: dedi comberanaaaaa"
"bisa cari salah","terjemahkan id ke en: bisa cari salah cari salah cari salah cari salah "
"cocotnya","nya..............nyanya"
"kader pdip didik","ajarkan id ke en: kader pdip didik didik didik didik didik didik"
"kakean cangkem","terjemahkan id ke en: kakean cangkem cangkem cangkem  cangk"
"pdip otak te4oris"," terjemahkan id ke en: pdip otak te4oris terjemahkan"
"jelas banget dedi sitoruspdip provokasi maha sewadan sewa","terjemahkan id ke en: terjemahkan id ke en:  terjemahkan"
"quothabis gelap terbit terangquot lupa sejarah terang benderang gelap harga pahlawan bangsa korban jiwa raga indonesia"," terjemahkan id ke en: quothabis gelap terbit terang "
"narsumnya ecek2 mutu","nya aja.nyanyanya nya aja"
"pembodoan publik tugas partai","ahok ahok terjemahkan id ke en: partai"
"tugas partai nyambung","terjemahkan id ke en: tugas partai nyambungkan id ke en: tugas"
"yang baca rombong lo bener otak nggak akhlak","aja sih aja sih aja aja"
"kok asta aja hukum mau kayak gitu","terjemahkan id ke en: kok asta aja hukum mau kayak g"
"orang 2014 2019 adem ayem aja ngocehngoceh besokbesok maaf maaf","terjemahkan id ke en: orang 2014 2019 terjemahkan id ke en: orang 2014"
"orang lempar batu sembunyi tangan ngomongnya aja udah emosi merahmerah","merahmerahmerah merahmerah merahmerahmerahmerahmerahmerahmerahmerahmerahmerahmerahmerahmerahmerah"
"mantan koruptor narasumber ilcindonesia lawyer klub ngawur","ahok ahok ahok ahok ahok ahok "
"ada politis bagi2 duit demo tuh","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"ini deddy sitarus usak otak2privokator demo"," terjemahkan id ke en: ini deddy sitarus  "
"jangan percaya deddy sitarus","agus agus agus agus sitarus  si"
"indonesia hancur manusia2 deddy sitarus hasto","terjemahkan id ke en: indonesia hancur manusia2 terjemahkan id ke en:"
"kirain pimpin eh kata turun","aja sih.............."
"uang operasional kampus potong terima kip diefesiensi","terjemahkan id ke en:kan id ke en:kan id ke en:"
"baris sakit hati klu ngak saing sehat jgn fitnah org tuhan lawan","terjemahkan id ke en: baris terjemahkan id ke en: baris "
"salah jokowi dedi torus benci","jokowi"
"yang ngomong udah manfaat lom rakyat kader lho banyak kalo menang kali program rakyat jalanin kader tuh 10 heheheehhe","terjemahkan id ke en: terjemahkan id ke en: terjemahkan id ke"
"masyarakat udh pd tau jujur pk prabowo orang jujur legowo suka noloong cilik","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"rakyat udah muak dedy sitorus ngomong manfaat rakyat","ngomong rakyat udah muak rakyat udah muak rakyat udah muak rakyat udah muak"
"ilc gk mutu kumpul orang nyinyir gk kualitas","terjemahkan id ke en: ilc terjemahkan id ke en: ilc"
"dedi turus bacot lo muf on2brnyinyir trus prabowo nyinyir jikala pdi p kuasa brmahadewa km orang nyewa","terjemahkan id ke en: dedi turuskan id ke en: dedi"
"saya dedy sitorus bangsa negara coba tunjuk aja coba rakyat tunggu jawab ded","sitorus bangsa negara sitorus bangsa negara negara negara negara negara negara negara si"
"wahai rakyat indonesia mendung pdi p muak dengar tokoh2nya menang yidak mutu a href","a href="http://www.wikipedia.org/wiki/"
"orang suka mengertik presiden patut tinggal nama tubuh atas bumi rakyat muak mendengarnyabra href","terjemahkan id ke en: orang suka mengertik  terjemahkan id ke en"
"orang suka mengertik presiden patut tinggal nama tubuh atas bumi rakyat muak mendengarnyabra href","terjemahkan id ke en: orang suka mengertik  terjemahkan id ke en"
"mantab bg","gan..........::.."
"salah jokowi jangan2 you provokasi mahasewa nggak munafik deddy","agus agus  terjemahkan id ke en: salah jokowi"
"kalau tau ya bos urus selesaikanbiar gk adu mulut doank","terjemahkan id ke en: kalau tau ya bos terjemahkan id ke en:"
"berat demo terprofokasi ya","terjemahkan id ke en: terjemahkan id ke en:kan id ke"
"marham"," (marham) terjemahkan id ke en: marham terjemah"
"kombir jual obat","terjemahkan id ke en: kombir jual obat terjemahkan id ke en:"
"orang pinta ber adu pintar diyalah menang","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"ekonomi melemahdemokrasi rusak karna gibran","ekonomi melemah ekonomi melemah ekonomi melemah ekonomi melemah ekonomi melemah ekonomi melemah ekonomi melemah ekonomi"
"demokrasi jalan mesti","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"nggak ngomong danantara investasi bidang didik","terjemahkan id ke en: terjemahkan id ke en:kan id ke en"
"ini coba kpk tolong d selidik manusia sengkuni dedi sitorus salah sumbang dana mahasewa snjing piataan pdip harus d krangkeng bikin rabies","terjemahkan id ke en: ini cobakan id ke en: ini cobakan"
"apa jokower","jokower jokower jokower terjemahkan id ke en: apa"
"idrus marhan narsum gimana ni tvone","tvone tvone tvone tvone tvone  tv"
"tangkap mulyono dinasty dan oligarki","(asli) terjemahkan id ke en: terjemahkan id ke"
"idrus marhan nongol lg cri jbtn"," terjemahkan id ke en: idrus marhan ke en: idrus"
"a href bahahahahahahahab","ahahahahahahahahahahahahahahahahahaha"
"jokowi jos","jokowi jos jos jos jos jos jos jos jos"
"anda provokator orang orang pdip pas partai jatuh","terjemahkan id ke en: terjemahkan id ke en: terjemahkan id ke"
"kasi lu ded ngoceh mana ngaruh","terjemahkan id ke en: terjemahkan id ke en: terjemahkan id ke"
"pak prabowo jabat kasih sempat beliau lihat hasil","terjemahkan id ke en: pak prabowo terjemahkan id ke en:"
"jokowi disalahin hadehhh","hhhhhhh"
"ngaur ngomong aj kmu","aj aj aj aj aj aj "
"jangan omon omon uu permpasan aset koruptor","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"adil dedi sitorus cabut lidah tu picu propaganda","terjemahkan id ke en: adil dedi sitorus terjemahkan id ke"
"omong kosong si dedy"," terjemahkan id ke en: terjemahkan id ke en: "
"sampah ilc koruptor panggung anyar sensasi ato benah negara lu ilc","ato ato ato ato ato ato "
"orang bisa cocot nya aza kencenggg","nya nya nya aja  nya  "
"manusia kadrun dedy sitorusbentar jugakk gilir panggil kpkliat az brooocangkemu senngkuni","terjemahkan id ke en: manusia kadrun dedy sitorus terjemahkan"
"lu aja pusing tukang adu domba coba kaga lu adem tuh mikirrr","terjemahkan id ke en:"
"baru 100 bos","gan...."
"apa ituprabowo ttp hatisehat presiden ku","(a) terjemahkan id ke en: apa itu terjemahkan id"
"malas gelap ndasmu","terjemahkan id ke en: malas gelap ndasmu terjemahkan id:"
"lucu koruptor koar koar","koar koar koar koar koar koar koar koar koar"
"ini orang musti tangkap sebb ngomong","(a) (a)kankan id ke en: terjemah"
"logika pakai dasar kata pa jokoi akan pa jokoilah galang sayang kelompok suda kalah politik cari cari akal buruk memper keruh situasi","id ke en:kan id ke en:kan id ke en:kan id"
"boleh nggak mulut dedi sitorus di masuk mik biar gk bacoot aja","terjemahkan id ke en: terjemahkan id ke en:kan id ke"
"siap galang demo kalo anak pegawe negri bapa pecat aja","terjemahkan id ke en: siap galang demo terjemahkan id ke en:"
"hutang kita hampir 10000 triliunbrmau hutang atau efisiensi","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"sitorus dn mahasiswa indonesia gelap sya rakyat titip dpr sah uu penyitaa aset koruptortolong suara kenceng","terjemahkan id ke en: sitoruskan id ke en: sitorus"
"jdi indonesi gelap bangat ya ya","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"sdhlah rakyat sdh sangsara siap2 sangsara cina sdh jajah hati2 kolomerat cina sdh kuasa kawasan timut","id ke en:kan id ke en:kan id ke en:kan id"
"dedy siterus mmg pandai ngomong ciri org oposisi bangun negara tau cadi propokator mahasiswa keluarga jd politik p d i he mahasiswa jgn ikutquotan","terjemahkan id ke en: dedy siterus siterus kankan"
"hukum acak kadut karna a href","terjemahkan id ke en: hukum acak kadut kadut karna a href"
"turun demo ya uang dpr kena potong","kan id ke en:kan id ke en:kan id ke en:kan"
"heyyy deddy songong buzzer pribaditdk bayar atw suruh pikir rasional","terjemahkan id ke en: heyyy deddy songong buzzer pribadi"
"picik pdip","pdip ................"
"anak mahasiswa ngk pihak masyarakat","... aja aja aja aja"
"jangan bowo kalo indonesia bubar","terjemahkan id ke en: terjemahkan id ke en:kan id ke"
"mahasewa demo karna bayar ama rombong elu","terjemahkan id ke en: mahasewa demo terjemahkan id ke en: maha"
"justru memproprokasi statmen brindonesia gelap koruptor","aja sih.............."
"emang bener jokowi kenapa presiden bnyak mengritik jokowi sdgkn prabowo mengritik kn bner kata jokowi kok jokowi jdi provokasi kami rakyat rasa gelap kenapa rakyat gelap","terjemahkan id ke en:kan id ke en:kan id ke en:"
"gelap pdip udah gelap yang setia bangsa negara rakyat aparat sih prabowo","terjemahkan id ke en: gelap pdip udah gelap: gelap pdip udah gelap"
"koruptor kembang sayap",""
"kasi mahasiswa",""
"lama cawe2 jokowi demo henti","terjemahkan id ke en: terjemahkan id ke en:kan id ke"
"takar kode kode alambrbrkejujuran atau sulap brbrhingar bingar jalan politik sosial hukum ekonomi indonesia satu puncak gunung es cair hancur alam semesta indonesiabrbrgerakan demonstrasi bem indonesia manifesto marah anak anak orang tua ajar mesti etika brbudaya luhur ri adab akhlaqul karimah kontradiktif nilai nilai laku masyarakatbrbudaya preman hukum politik ekonomi tonton rakyat politik dagang sapi jamur desa pilih perangkat desa pasar hewan diri massive sistem dan terencanabrbrketika panggung panggung hibur munculah sulap sulap creatif tonton sulap hibur muas penontonbrbrtetapi sulap dunia hibur dunia politik hukum ekonomi dstbrdalam pilpres pilkada pilkades muncul sulap sulap politik hukum ekonomi kolaborasi panggung hipnotis rakyat indonesiabrsemua rakyat tonton pura pura sulap politik hukum bralangkah bengis sulap sulap urus urus negara urus rakyat laku dunia panggung hiburanbrbrdalam dunia sulap istilah jujur kalau sulap jujur tentu tidak akan laku brbrdemikian dunia politik sulap sulap poltik jujur presiden gubernur bupati kepala desa dstbrbrdalam dunia gelap or jahilillyah jujur ubah transparansi akuntabilitas bpk bpkp lpj dst bribarat makan tempe sumpel asal kedelai brapakah kita juga bagi dari korporasi korporasi grand design sulap sulap itubrbrlebih jujur mana alam semesta dengan manusiabrbrsebuah pohon mangga ketika buah tidak akan pernah mem mi petik apakah sampean kristen islam jowo londo dstbrrahmatan lil alaaminbrbrbrnuun wal qolami wamaa yasythuruun salambrbrcreated by ts ecosystem","id ke en: takar kode alamterjemahkan id ke en: takar kode alam"
"madesu jelas lalu gimana kalo pandai2 diskusi melulu","terjemahkan id ke en: madesu terjemahkan id ke en: mad"
"idrus marham lelet"," terjemahkan id ke en: idrus marham terjemahkan id ke"
"yg bela perintah bacotx ngga ngotak mingkem","aja ngga ngomong mingkem ngga ngomong ming"
"sepakat bang sitorus brjokowi provokasi mahasiswa demo rejim prabowo brprabowo cerdas dikit","terjemahkan id ke en: sepakat bang sitoruskan id ke en:"
"penghianat negri mulyonosaking takut karna lengser mulyonoanaknya calon wakil pressebagai mata elang mulyonodan mulyono rusak nkri media mana kapanpunkarna karakter mulyono","mulyono  mulyono   mulyono mulyo"
